Mass,"X10LL[1,1]_X10LL[2,1]","X10LL[1,1]_X10LL[3,1]","X10LL[1,1]_X10RR[1,1]","X10LL[1,1]_X10RR[2,1]","X10LL[1,1]_X10RR[3,1]","X10LL[2,1]_X10LL[3,1]","X10LL[2,1]_X10RR[1,1]","X10LL[2,1]_X10RR[2,1]","X10LL[2,1]_X10RR[3,1]","X10LL[3,1]_X10RR[1,1]","X10LL[3,1]_X10RR[2,1]","X10LL[3,1]_X10RR[3,1]","X10RR[1,1]_X10RR[2,1]","X10RR[1,1]_X10RR[3,1]","X10RR[2,1]_X10RR[3,1]","X10LL[1,2]_X10LL[2,2]","X10LL[1,2]_X10LL[3,2]","X10LL[1,2]_X10RR[1,2]","X10LL[1,2]_X10RR[2,2]","X10LL[1,2]_X10RR[3,2]","X10LL[2,2]_X10LL[3,2]","X10LL[2,2]_X10RR[1,2]","X10LL[2,2]_X10RR[2,2]","X10LL[2,2]_X10RR[3,2]","X10LL[3,2]_X10RR[1,2]","X10LL[3,2]_X10RR[2,2]","X10LL[3,2]_X10RR[3,2]","X10RR[1,2]_X10RR[2,2]","X10RR[1,2]_X10RR[3,2]","X10RR[2,2]_X10RR[3,2]","X10LL[1,3]_X10LL[2,3]","X10LL[1,3]_X10LL[3,3]","X10LL[1,3]_X10RR[1,3]","X10LL[1,3]_X10RR[2,3]","X10LL[1,3]_X10RR[3,3]","X10LL[2,3]_X10LL[3,3]","X10LL[2,3]_X10RR[1,3]","X10LL[2,3]_X10RR[2,3]","X10LL[2,3]_X10RR[3,3]","X10LL[3,3]_X10RR[1,3]","X10LL[3,3]_X10RR[2,3]","X10LL[3,3]_X10RR[3,3]","X10RR[1,3]_X10RR[2,3]","X10RR[1,3]_X10RR[3,3]","X10RR[2,3]_X10RR[3,3]"
1000,1.0846,0.837926,4.1198,1.8783,1.284442,0.166712,1.8783,0.54734,0.310946,1.284442,0.310946,0.15747,1.0846,0.837926,0.166712,1.0846,0.837926,4.1198,1.8783,1.284442,0.166712,1.8783,0.54734,0.310946,1.284442,0.310946,0.15747,1.0846,0.837926,0.166712,1.0836,0.831154,4.1138,1.8662,1.280514,0.166661,1.8662,0.54603,0.309995,1.280514,0.309995,0.15739,1.0836,0.831154,0.166661
1500,0.24438,0.1902575,0.97838,0.43253,0.2956771,0.0358498,0.43253,0.12019,0.0676385,0.2956771,0.0676385,0.034411,0.24438,0.1902575,0.0358498,0.24438,0.1902575,0.97838,0.43253,0.2956771,0.0358498,0.43253,0.12019,0.0676385,0.2956771,0.0676385,0.034411,0.24438,0.1902575,0.0358498,0.24558,0.188832,0.97521,0.43443,0.297174,0.0355466,0.43443,0.12085,0.0679347,0.297174,0.0679347,0.034485,0.24558,0.188832,0.0355466
2000,0.083838,0.0645797,0.34242,0.1498,0.1013764,0.0117844,0.1498,0.040274,0.0226389,0.1013764,0.0226389,0.011475,0.083838,0.0645797,0.0117844,0.083838,0.0645797,0.34242,0.1498,0.1013764,0.0117844,0.1498,0.040274,0.0226389,0.1013764,0.0226389,0.011475,0.083838,0.0645797,0.0117844,0.084018,0.06411024,0.3422,0.14998,0.10077617,0.0118306,0.14998,0.040113,0.0225828,0.10077617,0.0225828,0.011469,0.084018,0.06411024,0.0118306
2500,0.035748,0.02740977,0.14783,0.063482,0.0435191,0.00494904,0.063482,0.015719,0.00938904,0.0435191,0.00938904,0.0048403,0.035748,0.02740977,0.00494904,0.035748,0.02740977,0.14783,0.063482,0.0435191,0.00494904,0.063482,0.015719,0.00938904,0.0435191,0.00938904,0.0048403,0.035748,0.02740977,0.00494904,0.035704,0.02746416,0.14623,0.064209,0.04354779,0.00492294,0.064209,0.017026,0.00951959,0.04354779,0.00951959,0.0048283,0.035704,0.02746416,0.00492294
3000,0.017639,0.01370856,0.073519,0.031955,0.02173676,0.00240165,0.031955,0.0083066,0.00465402,0.02173676,0.00465402,0.0023569,0.017639,0.01370856,0.00240165,0.017639,0.01370856,0.073519,0.031955,0.02173676,0.00240165,0.031955,0.0083066,0.00465402,0.02173676,0.00465402,0.0023569,0.017639,0.01370856,0.00240165,0.017367,0.01372381,0.074482,0.031882,0.02165123,0.00242589,0.031882,0.0082757,0.00468022,0.02165123,0.00468022,0.0023468,0.017367,0.01372381,0.00242589
3500,0.0097079,0.00745007,0.041152,0.017705,0.01174714,0.0012872,0.017705,0.0043858,0.00256802,0.01174714,0.00256802,0.0012936,0.0097079,0.00745007,0.0012872,0.0097079,0.00745007,0.041152,0.017705,0.01174714,0.0012872,0.017705,0.0043858,0.00256802,0.01174714,0.00256802,0.0012936,0.0097079,0.00745007,0.0012872,0.0096799,0.00745682,0.040933,0.01763,0.01192161,0.00131141,0.01763,0.0045842,0.0025196,0.01192161,0.0025196,0.0012793,0.0096799,0.00745682,0.00131141
4000,0.0057296,0.004400187,0.024287,0.010537,0.007030896,0.000772659,0.010537,0.0026993,0.001521474,0.007030896,0.001521474,0.0007596,0.0057296,0.004400187,0.000772659,0.0057296,0.004400187,0.024287,0.010537,0.007030896,0.000772659,0.010537,0.0026993,0.001521474,0.007030896,0.001521474,0.0007596,0.0057296,0.004400187,0.000772659,0.0057365,0.004448004,0.024531,0.01052,0.007099219,0.000776821,0.01052,0.0026682,0.001516364,0.007099219,0.001516364,0.000749,0.0057365,0.004448004,0.000776821
4500,0.0036238,0.002775902,0.015301,0.0066273,0.004417482,0.000484534,0.0066273,0.0016975,0.000937243,0.004417482,0.000937243,0.00047749,0.0036238,0.002775902,0.000484534,0.0036238,0.002775902,0.015301,0.0066273,0.004417482,0.000484534,0.0066273,0.0016975,0.000937243,0.004417482,0.000937243,0.00047749,0.0036238,0.002775902,0.000484534,0.003595,0.002795713,0.015449,0.0065529,0.004501085,0.000487123,0.0065529,0.0016396,0.000941806,0.004501085,0.000941806,0.00047467,0.003595,0.002795713,0.000487123
5000,0.002376,0.001846083,0.010209,0.0043516,0.002955623,0.000314552,0.0043516,0.0010881,0.000618078,0.002955623,0.000618078,0.00031375,0.002376,0.001846083,0.000314552,0.002376,0.001846083,0.010209,0.0043516,0.002955623,0.000314552,0.0043516,0.0010881,0.000618078,0.002955623,0.000618078,0.00031375,0.002376,0.001846083,0.000314552,0.0023624,0.001850492,0.010078,0.0043995,0.002951294,0.000317645,0.0043995,0.0011236,0.000626196,0.002951294,0.000626196,0.00031265,0.0023624,0.001850492,0.000317645
5500,0.0016254,0.001255382,0.0070812,0.0030347,0.002043339,0.00021922,0.0030347,0.00075832,0.000430056,0.002043339,0.000430056,0.00021205,0.0016254,0.001255382,0.00021922,0.0016254,0.001255382,0.0070812,0.0030347,0.002043339,0.00021922,0.0030347,0.00075832,0.000430056,0.002043339,0.000430056,0.00021205,0.0016254,0.001255382,0.00021922,0.0016263,0.001256162,0.0070574,0.002988,0.001996966,0.000219157,0.002988,0.00076064,0.000429525,0.001996966,0.000429525,0.00021532,0.0016263,0.001256162,0.000219157
6000,0.0011374,0.000889244,0.0050506,0.0021249,0.001445554,0.000153224,0.0021249,0.00053874,0.000301493,0.001445554,0.000301493,0.00015257,0.0011374,0.000889244,0.000153224,0.0011374,0.000889244,0.0050506,0.0021249,0.001445554,0.000153224,0.0021249,0.00053874,0.000301493,0.001445554,0.000301493,0.00015257,0.0011374,0.000889244,0.000153224,0.0011582,0.000900611,0.0049969,0.0021262,0.001446262,0.000154487,0.0021262,0.000547,0.000302164,0.001446262,0.000302164,0.00015283,0.0011582,0.000900611,0.000154487
6500,0.00083641,0.000647197,0.0036679,0.0015749,0.001042861,0.000112129,0.0015749,0.00039494,0.000220254,0.001042861,0.000220254,0.00011079,0.00083641,0.000647197,0.000112129,0.00083641,0.000647197,0.0036679,0.0015749,0.001042861,0.000112129,0.0015749,0.00039494,0.000220254,0.001042861,0.000220254,0.00011079,0.00083641,0.000647197,0.000112129,0.0008413,0.0006491797,0.0036081,0.0015477,0.001051053,0.000110679,0.0015477,0.00039443,0.0002197,0.001051053,0.0002197,0.00011108,0.0008413,0.0006491797,0.000110679
7000,0.00062631,0.0004885296,0.0027459,0.0011496,0.0007797213,8.40E-05,0.0011496,0.00029176,0.00016534,0.0007797213,0.00016534,8.29E-05,0.00062631,0.0004885296,8.40E-05,0.00062631,0.0004885296,0.0027459,0.0011496,0.0007797213,8.40E-05,0.0011496,0.00029176,0.00016534,0.0007797213,0.00016534,8.29E-05,0.00062631,0.0004885296,8.40E-05,0.00062627,0.0004902901,0.002698,0.0011646,0.0007800566,8.38E-05,0.0011646,0.00029295,0.0001647698,0.0007800566,0.0001647698,8.26E-05,0.00062627,0.0004902901,8.38E-05
7500,0.00047786,0.0003665748,0.0021057,0.00089054,0.0005927948,6.38E-05,0.00089054,0.00022465,0.0001259143,0.0005927948,0.0001259143,6.23E-05,0.00047786,0.0003665748,6.38E-05,0.00047786,0.0003665748,0.0021057,0.00089054,0.0005927948,6.38E-05,0.00089054,0.00022465,0.0001259143,0.0005927948,0.0001259143,6.23E-05,0.00047786,0.0003665748,6.38E-05,0.0004758,0.0003709127,0.0020816,0.00089078,0.0005902122,6.37E-05,0.00089078,0.00022189,0.0001253944,0.0005902122,0.0001253944,6.21E-05,0.0004758,0.0003709127,6.37E-05
8000,0.00037241,0.0002868669,0.0016229,0.00068791,0.0004628539,4.91E-05,0.00068791,0.00017166,9.71E-05,0.0004628539,9.71E-05,4.78E-05,0.00037241,0.0002868669,4.91E-05,0.00037241,0.0002868669,0.0016229,0.00068791,0.0004628539,4.91E-05,0.00068791,0.00017166,9.71E-05,0.0004628539,9.71E-05,4.78E-05,0.00037241,0.0002868669,4.91E-05,0.00037077,0.0002866329,0.0016179,0.00068389,0.0004559078,4.92E-05,0.00068389,0.00017002,9.63E-05,0.0004559078,9.63E-05,4.85E-05,0.00037077,0.0002866329,4.92E-05